Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	
Court of Appeals	3rd Court of Appeals			Rosa		Lopez Theofanis		Justice	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Child Protection	Northeast Texas Child Protection Court No. 2			Deane	A.	Loughmiller		Associate Judge	402 S Stephens St	Quitman	75783	(903)638-1306	
Child Support (Title IV-D)	Title IV-D Court No. 34			Amy		Luhrs		Associate Judge	122 W Harris Ave	San Angelo	76903	(325)659-6485	
Child Protection	Child Protection Court of the Hill Country			Cheryll		Mabray		Associate Judge	P O Box 846	Llano	78643	(325)247-7747	 mance.bowden@txcourts.gov
Child Support (Title IV-D)	Title IV-D Court No. 18		Honorable	Dulce		Madrigal		Associate Judge	P O Box 650	Red Rock	78662	(512)854-6451	
				Sandee	Bryan	Marion		Retired Probate					
Child Support (Title IV-D)	Title IV-D Court No. 40			Shelly		Marshall		Associate Judge	904 Broadway	Lubbock	79408		
				Alma		Martinez							
Court of Appeals	4th Court of Appeals			Rebeca	C.	Martinez		Chief Justice	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Court of Appeals	14th Court of Appeals			Eleanor		Mason		Chief Staff Attorney	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
Court of Appeals	6th Court of Appeals			Kristi		McCasland		Chief Staff Attorney	100 N State Line Ave, No 20	Texarkana	75501-5666	(903)798-3046	 debbie.autrey@txcourts.gov
Child Protection	Child Protection Court of Central Texas			Melissa		McClenahan		Associate Judge	150 N Seguin, Ste 317	New Braunfels	78130	(830)221-1197	 karen.cortez@txcourts.gov
Court of Appeals	12th Court of Appeals			Katrina		McClenny		Clerk	1517 W Front, Ste 354	Tyler	75702-7854	(903)593-8471	
Court of Criminal Appeals	Court of Criminal Appeals			Jesse	F.	McClure	III	Judge	P O Box 12308	Austin	78711-2308	(512)463-1555	
District				Jack	Arnold	McGaughey		Visiting Judge (local)					
Child Support (Title IV-D)	Title IV-D Court No. 19			Karen		McKnight		Court Coordinator	P O Box 1748	Austin	78767	(512)854-6453	
Child Support (Title IV-D)	Title IV-D Court No. 11			Sandra		McPherson		Court Coordinator	1115 Congress, 3rd Fl	Houston	77002	(832)927-6898	
Administrative Judicial Region	Fifth Administrative Judicial Region			Missy		Medary		Presiding Judge	901 Leopard St, Rm 804	Corpus Christi	78401	(361)668-5766	
Child Support (Title IV-D)	Title IV-D Court No. 21			Belinda		Mendez		Associate Judge	1110 Victoria St, Ste 101	Laredo	78040	(956)523-4078	
			Honorable	Karl	N.	Micklitz		Visiting Judge (local)	P.O. Box 365	Brookshire	77423	(281)389-5702	
Supreme Court	Supreme Court			Kathy		Miller		Executive Assistant	P O Box 12248	Austin	78711-2248	(512)463-1348	
Child Support (Title IV-D)	Title IV-D Court No. 12			Lena		Miller		Court Coordinator	300 E 26th St, Ste 3510	Bryan	77803	(979)361-4494	
Court of Appeals	13th Court of Appeals (Corpus Christi)			Kathy		Mills		Clerk	901 Leopard, 10th Fl	Corpus Christi	78301	(361)888-0697	
Child Protection	4th & 5th Admin. Judicial Regions Cluster Court			Selina		Mireles		Associate Judge	1110 Victoria St, Ste 105	Laredo	78040	(956)523-4231	 gabriela.salinas@txcourts.gov
Court of Appeals	5th Court of Appeals			Emily		Miskel		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
				Tiffany		Moehr							
Court of Appeals	5th Court of Appeals			Ken		Molberg		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Child Protection	Child Protection Court of the Permian Basin			Marisol		Montes		Court Coordinator	500 N Loraine, Ste 500	Midland	79701	(432)688-4395	
				Kelly	G.	Moore		Member	500 W Main, Rm 204W	Brownfield	79316	(806)637-1329	
Child Support (Title IV-D)	Title IV-D Court No. 15			Belinda		Morales		Court Coordinator	P O Box 1145	Belton	76513-5145	(254)933-5373	
Child Support (Title IV-D)	Title IV-D Court No. 11			Conrad		Moren		Associate Judge	1115 Congress, 3rd Fl	Houston	77002	(832)927-6898	
Child Protection	Harris County CPS Project Court			Inocensia		Moreno		Court Coordinator	1200 Congress	Houston	77002	(832)927-2899	
Court of Appeals	5th Court of Appeals			Ruben		Morin		Clerk	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
				Cathy		Morris		Visiting Judge (local)					
Child Support (Title IV-D)	Title IV-D Court No. 31			Latricia		Morris		Court Coordinator	500 N Loraine, Ste 501	Midland	79701	(432)686-0292	
Child Protection	Northern Panhandle Child Protection Court			Haley		Morrow		Court Coordinator	4320 S Western St, Ste 106	Amarillo	79109	(806)468-5696	 haley.morrow@txcourts.gov
Child Support (Title IV-D)	Title IV-D Court No. 19			Mary	Ann	Morton		Associate Judge	1700 Guadalupe, 6th Floor	Austin	78701	(512)854-6453	
Child Protection	Centex Child Protection Court North			Nikki		Mundkowsky		Associate Judge	501 Washington Ave	Waco	76701	(254)757-5000 - ext. 2271      	
				Ashley	Troy	Mungia							
				Valeria		Munoz	(Civil)						
Child Support (Title IV-D)	Title IV-D Court No. 6			Veronica		Munoz		Court Coordinator	101 E Methvin, Rm 203	Longview	75601	(903)237-2562	
Child Support (Title IV-D)	Title IV-D Court No. 17			Nancy		Nall		Court Coordinator	420 N 6th St	Waco	76701	(254)714-1307	
Court of Appeals	12th Court of Appeals			Greg		Neeley		Justice	1517 W Front, Ste 354	Tyler	75702-7854	(903)593-8471	
Child Support (Title IV-D)	Title IV-D Court No. 15		Honorable	Michael		Nelson		Associate Judge	P O Box 1145	Belton	76513-5145	(254)933-5373	
Court of Criminal Appeals	Court of Criminal Appeals			David	C.	Newell		Judge	P O Box 12308	Austin	78711-2308	(512)463-1570	
Supreme Court	Supreme Court			Martha		Newton		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1348	
Child Support (Title IV-D)	Title IV-D Court No. 5			Casey		Nortman		Court Coordinator	2100 Bloomdale Rd, Ste 10138	McKinney	75071	(214)491-4811	
Court of Appeals	5th Court of Appeals			Erin	A.	Nowell		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Child Protection	Gulf Coast Children's Court			Sergio		Olvado		Court Coordinator	1115 Congress St, 5th Fl	Houston	77002	(832)927-6970	
				Garrett		Osborne							
Court of Appeals	8th Court of Appeals			Gina	M.	Palafox		Justice	500 E San Antonio Ave, Ste 1203	El Paso	79901-2408	(915)546-2240	
Supreme Court	Supreme Court			Nathan		Palmer		Staff Attorney	201 West 14th St, Rm 104	Austin	78701	(512)463-1312	
Court of Appeals	7th Court of Appeals			Judy	C.	Parker		Justice	P O Box 9540	Amarillo	79105-9540	(806)342-2650	
Child Protection	Centex Child Protection Court No. 1			Cindi		Parker		Court Coordinator	104 S Main	Belton	76513	(254)933-5386	
Child Protection	Centex Child Protection Court No. 2			Cindi		Parker		Court Coordinator	104 S Main	Belton	76513	(254)933-6726	
Child Protection	Northeast Texas Child Protection Court No. 2			Joy		Parker		Court Coordinator	497 CR 2377	Alba	75410	(903)638-1306	
Court of Appeals	5th Court of Appeals			Robbie	S.	Partida-Kipness		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Child Protection	8th Region North Child Protection Court			Amy		Patterson		Court Coordinator	112 S Dixon St	Gainesville	76240	(940)668-5502	
Court of Appeals	5th Court of Appeals			William (Bill)		Pedersen	III	Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Court of Appeals	13th Court of Appeals (Corpus Christi)			Lionel	Aron	Pena	Jr.	Justice	901 Leopard, 10th Fl	Corpus Christi	78401	(361)888-0416	
Child Support (Title IV-D)	Title IV-D Court No. 27			Mary		Perez		Court Coordinator	974 E Harrison, 1st Fl	Brownsville	78520	(956)544-0885	
Child Protection	Taylor County Child Protection Court			Julie		Perry		Court Coordinator	300 Oak St, Ste 200	Abilene	79602	(325)674-1387	 julie.perry@txcourts.gov
Court of Appeals	14th Court of Appeals			Margaret (Meg)	Anne	Poissant		Justice	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
				John		Price							
Court of Criminal Appeals	Court of Criminal Appeals			Anna	Kathryn	Price		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1580	
Child Protection	Taylor County Child Protection Court			April		Propst		Associate Judge	300 Oak St, Ste 200	Abilene	79602	(325)674-1387	 julie.perry@txcourts.gov
Child Protection	Northeast Texas Child Protection Court No. 1			Stephanie		Pryor		Court Coordinator	108 S Sycamore, Rm 300	Carthage	75633	(903)850-0008	
Child Support (Title IV-D)	Title IV-D Court No. 4			Maria		Puente		Court Coordinator	600 Commerce, Rm 350	Dallas	75202-4616	(214)653-7438	
Court of Appeals	7th Court of Appeals			Brian		Quinn		Chief Justice	P O Box 9540	Amarillo	79105-9540	(806)342-2650	
Child Support (Title IV-D)	Title IV-D Court No. 44			Iris		Quiroga		Court Coordinator	500 E San Antonio, Ste 604	El Paso	79901	(915)546-2036	
Court of Appeals	6th Court of Appeals			Daymon (Jeff)	Jeffrey	Rambin		Justice	100 N State Line Ave, No 20	Texarkana	75501-5666	(903)798-3046	 debbie.autrey@txcourts.gov
Court of Appeals	7th Court of Appeals			Bobby		Ramirez		Clerk	P O Box 9540	Amarillo	79105-9540	(806)342-2650	
Supreme Court	Supreme Court			Daniel		Rankin		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-1340	
Child Protection	Coastal Bend Children's Court			Jamie		Rawlinson		Associate Judge	301 Jackson Street	Richmond	77469	(832)927-6604	
Court of Criminal Appeals	Court of Criminal Appeals			Nichole		Reedy		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1570	
Court of Appeals	5th Court of Appeals			Amanda	L.	Reichek		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Child Support (Title IV-D)	Title IV-D Court No. 39			Anita	Castilleja	Renteria		Court Coordinator	P O Box 10536	Lubbock	79408	(806)775-1704	
Court of Criminal Appeals	Court of Criminal Appeals			Kelley		Reyes		Chief Deputy Clerk	P O Box 12308	Austin	78711-2308	(512)463-1551	
Court of Criminal Appeals	Court of Criminal Appeals			Robert (Bert)	C.	Richardson		Judge	P O Box 12308	Austin	78711-2308	(512)463-1565	
Court of Appeals	4th Court of Appeals			Irene		Rios		Justice	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Child Support (Title IV-D)	Title IV-D Court No. 38			Lorraine		Robinson		Court Coordinator	200 E Weatherford St	Fort Worth	76196	(817)884-3298	
Child Protection	Child Protection Court of South Central Texas			Virginia		Rocamontes-Luce		Court Coordinator	One Courthouse Circle, Ste 205	Jourdanton	78026	(830)769-2427	 virginia.rocamontes-luce@txcourts.gov
Court of Appeals	4th Court of Appeals			Liza	A.	Rodriguez		Justice	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Court of Appeals	8th Court of Appeals			Yvonne	T.	Rodriguez		Chief Justice	500 E San Antonio Ave, Ste 1203	El Paso	79901-2408	(915)546-2240	
Child Support (Title IV-D)	Title IV-D Court No. 23		Honorable	Eric		Rodriguez		Associate Judge	100 Dolorosa, Rm 411	San Antonio	78205	(210)335-3915	
				Lisa		Rogerio							
Child Support (Title IV-D)	Title IV-D Court No. 27		Honorable	Gilbert		Rosas		Associate Judge	974 E Harrison, 1st Fl	Brownsville	78520	(956)544-0885	
Court of Appeals	9th Court of Appeals			Leslie		Saia		Chief Staff Attorney	1085 Pearl, Ste 330	Beaumont	77701-3552	(409)835-8402	
Child Protection	4th & 5th Admin. Judicial Regions Cluster Court			Gabriela	Magnon	Salinas		Court Coordinator	1110 Victoria St, Ste 105	Laredo	78040	(956)523-4231	 gabriela.salinas@txcourts.gov
Court of Appeals	4th Court of Appeals			Jack		Salmon		Chief Staff Attorney	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Court of Criminal Appeals	Court of Criminal Appeals			Sian		Schilhab		General Counsel	P O Box 12308	Austin	78711-2308	(512)463-1597	
Court of Criminal Appeals	Court of Criminal Appeals			Kathy		Schneider		Attorney	P O Box 12308	Austin	78711-2308	(512)936-1627	
Supreme Court	Supreme Court			Nadine		Schneider		Administrative Assistant	P O Box 12248	Austin	78711-2248	(512)463-1317	
Child Support (Title IV-D)	Title IV-D Court No. 3			Terri		Schutte		Court Coordinator	710 James Bowie Drive	New Boston	75570	(903)628-6785	
Child Protection	Child Protection Court of West Texas			Tracey		Scown		Associate Judge	300 N Grant Ave, Ste B-5	Odessa	79761	(432)498-4170	
Administrative Judicial Region	Tenth Administrative Judicial Region			Terri		Shepherd		Assistant	101 E Methvin St, Ste 447	Longview	75601	(903)236-1748	 terri.shepherd@co.gregg.tx.us
Child Support (Title IV-D)	Title IV-D Court No. 35			Veronica		Shiflet		Court Coordinator	200 E Weatherford	Fort Worth	76196	(817)248-6070	
Administrative Judicial Region	First Administrative Judicial Region			Candy		Shiver		Assistant	2100 Bloomdale Rd	McKinney	75071	(469)818-4211	 cshiver@firstadmin.com
Court of Appeals	13th Court of Appeals (Edinburg)			Clarissa		Silva		Justice	100 East Cano, 5th Fl.	Edinburg	78539	(956)318-2405	
Child Support (Title IV-D)	Title IV-D Court No. 42			Sara		Simmonds		Associate Judge	P O Box 881	Jourdanton	78026	(361)798-6733	
Child Protection	Centex Child Protection Court No. 2			Dallas		Sims		Associate Judge	104 S Main	Belton	76513	(254)933-6726	
Court of Criminal Appeals	Court of Criminal Appeals			Michelle	M.	Slaughter		Judge	P O Box 12308	Austin	78711-2308	(512)463-1585	
				Todd		Smith		Member					
Court of Appeals	10th Court of Appeals			Steven	Lee	Smith		Justice	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Court of Appeals	3rd Court of Appeals			Edward	Stuart	Smith		Justice	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Court of Appeals	5th Court of Appeals			Craig		Smith		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Court of Appeals	8th Court of Appeals			Lisa	J.	Soto		Justice	500 E San Antonio Ave, Ste 1203	El Paso	79901-2408	(915)546-2240	
Court of Appeals	14th Court of Appeals			Charles	Adkin	Spain	Jr.	Justice	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
				Polly	Jackson	Spencer	(Probate)	Retired Probate	112 E Pecan, Ste 1300	San Antonio	78205	(210)227-7121	
Court of Appeals	2nd Court of Appeals			Debra		Spisak		Clerk	401 W Belknap, Ste 9000	Fort Worth	76196-0211	(817)884-1900	 2ndclerk@txcourts.gov
Supreme Court	Supreme Court			Ellen		Springer		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)463-3494	
Supreme Court	Supreme Court			Amy		Starnes		Staff Attorney	201 West 14th St, Rm 104	Austin	78701	(512)463-1441	
Child Support (Title IV-D)	Title IV-D Court No. 9			Daniel		Stavinoha		Associate Judge	1422 Eugene Heimann Cir, Rm 20726	Richmond	77469	(281)344-3932	
Child Support (Title IV-D)	Title IV-D Court No. 36			Gloria		Steimel		Court Coordinator	900 7th St, Rm 204	Wichita Falls	76301	(940)766-8110	
Court of Appeals	10th Court of Appeals			Pauline		Stevens		Staff Attorney	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Court of Appeals	6th Court of Appeals			Scott	English	Stevens		Chief Justice	100 N State Line Ave, No 20	Texarkana	75501-5666	(903)798-3046	 debbie.autrey@txcourts.gov
Court of Criminal Appeals	Court of Criminal Appeals			Dakota		Stewart		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1580	
Child Support (Title IV-D)	Title IV-D Court No. 30			Laura		Strathmann		Associate Judge	500 E San Antonio, Ste 603	El Paso	79901	(915)546-2010	
Child Support (Title IV-D)	Title IV-D Court No. 42			Joyce		Strauss		Court Coordinator	7389 FM 1447E	Cuero	77954	(361)798-6733	
Court of Criminal Appeals	Court of Criminal Appeals			Amy		Strother		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1590	
Child Protection	Centex Child Protection Court South			Thomas		Stuckey		Associate Judge	211 W Court St, Rm 315	Seguin	78155	(830)303-8872	
Court of Appeals	2nd Court of Appeals			Bonnie		Sudderth		Chief Justice	401 W Belknap, Ste 9000	Fort Worth	76196-0211	(817)884-1900	 2ndclerk@txcourts.gov
				Thomas		Sullivan							
Supreme Court	Supreme Court			Colleen		Sullivan		Attorney	P O Box 12248	Austin	78711-2248	(512)463-6645	
Court of Appeals	10th Court of Appeals			Audrey		Sweet		Staff Attorney	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Court of Criminal Appeals	Court of Criminal Appeals			Tiffany		Talamantez		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1570	
Child Support (Title IV-D)	Title IV-D Court No. 16			Cindy		TePoel		Court Coordinator	405 MLK St, Rm 217 (Box 12)	Georgetown	78626	(512)943-1295	
Child Protection	South Plains Foster Care Court No. 1		Honorable	Kelley	C.	Tesch		Associate Judge	904 Broadway, Rm 122	Lubbock	79401	(806)775-1707	 dawn.garry@txcourts.gov
Administrative Judicial Region	Third Administrative Judicial Region			Steve		Thomas		Assistant	405 S MLK Blvd, Box 9	Georgetown	78626-0405	(512)943-3777	
				Nick		TIDC							
Court of Appeals	13th Court of Appeals (Corpus Christi)			Jaime	E.	Tijerina		Justice	901 Leopard, 10th Fl	Corpus Christi	78401	(361)888-0416	
Child Support (Title IV-D)	Title IV-D Court No. 14		Honorable	Veronica		Torrez		Associate Judge	1115 Congress, 2nd Fl	Houston	77002	(713)755-5353	
Court of Criminal Appeals	Court of Criminal Appeals			Travis		Tran		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1560	
Administrative Judicial Region	Second Administrative Judicial Region			Robert	Hill	Trapp		Presiding Judge	301 N Thompson, Ste 102	Conroe	77301	(936)538-8176	 tracy.conroy@mctx.org
Administrative Judicial Region	Fifth Administrative Judicial Region			JoAnna		Trevino		Assistant	901 Leopard St, Rm 804	Corpus Christi	78401	(361)668-5766	
Court of Appeals	3rd Court of Appeals			Gisela	D.	Triana		Justice	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Child Protection	Child Protection Court of the Hill Country			Anhelica		Trinidad		Court Coordinator	801 Ford St, Rm 303	Llano	78643	(325)247-7747	 mance.bowden@txcourts.gov
Court of Appeals	11th Court of Appeals			W.	Stacy	Trotter		Justice	P O Box 271	Eastland	76448-0271	(254)629-2638	 marla.hanks@txcourts.gov
				Position		Vacant							
				Position		Vacant							
				Position		Vacant							
				Position		Vacant							
Court of Appeals	11th Court of Appeals			Position		Vacant		Chief Staff Attorney	P O Box 271	Eastland	76448-0271	(254)629-2638	 marla.hanks@txcourts.gov
